,Unnamed: 0,file,gender,congruent,exact_file,pixels,VGG19_ALL_3_fine_tuned_v2,mean_predictions,parse,congruent2,sym,condition
15,15,024_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\024_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.4539639,0.4539639,024_03_,yes,yes,
16,16,026_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\026_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.4951153,0.4951153,026_03_,no,yes,
17,17,026_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\026_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.5014033,0.5014033,026_03_,yes,yes,
18,18,029_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\029_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.503787,0.503787,029_03_,no,yes,
19,19,029_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\029_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.47228298,0.47228298,029_03_,yes,yes,
20,20,031_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\031_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.47088268,0.47088268,031_03_,no,yes,
21,21,031_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\031_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.48017386,0.48017386,031_03_,yes,yes,
22,22,033_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\033_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.49420646,0.49420646,033_03_,no,yes,
23,23,033_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\033_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.47362044,0.47362044,033_03_,yes,yes,
24,24,036_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\036_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.56398845,0.56398845,036_03_,no,yes,
25,25,036_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\036_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.53813374,0.53813374,036_03_,yes,yes,
26,26,037_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\037_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.54730666,0.54730666,037_03_,no,yes,
27,27,037_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\037_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.5133989,0.5133989,037_03_,yes,yes,
28,28,041_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\041_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.4845223,0.4845223,041_03_,no,yes,
29,29,041_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\041_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.422744,0.422744,041_03_,yes,yes,
30,30,042_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\042_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.4415157,0.4415157,042_03_,no,yes,
31,31,042_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\042_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.44621113,0.44621113,042_03_,yes,yes,
32,32,043_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\043_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.4866108,0.4866108,043_03_,no,yes,
33,33,043_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\043_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.4869822,0.4869822,043_03_,yes,yes,
34,34,044_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\044_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.5000074,0.5000074,044_03_,no,yes,
35,35,044_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\044_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.48094913,0.48094913,044_03_,yes,yes,
36,36,045_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\045_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.50161755,0.50161755,045_03_,no,yes,
37,37,045_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\045_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.46584496,0.46584496,045_03_,yes,yes,
38,38,061_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\061_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.43643734,0.43643734,061_03_,no,yes,
39,39,061_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\061_03_masc.jpg,[254. 254. 254. ... 253. 253. 253.],0.46764222,0.46764222,061_03_,yes,yes,
40,40,063_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\063_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.47296783,0.47296783,063_03_,no,yes,
41,41,063_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\063_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.46251413,0.46251413,063_03_,yes,yes,
42,42,067_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\067_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.4893469,0.4893469,067_03_,no,yes,
43,43,067_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\067_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.44126257,0.44126257,067_03_,yes,yes,
44,44,068_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\068_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.43733624,0.43733624,068_03_,no,yes,
45,45,068_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\068_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.44244662,0.44244662,068_03_,yes,yes,
46,46,069_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\069_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.46938744,0.46938744,069_03_,no,yes,
47,47,069_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\069_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.44396392,0.44396392,069_03_,yes,yes,
48,48,070_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\070_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.43014315,0.43014315,070_03_,no,yes,
49,49,070_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\070_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.43218806,0.43218806,070_03_,yes,yes,
50,50,082_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\082_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.48671964,0.48671964,082_03_,no,yes,
51,51,082_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\082_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.47689793,0.47689793,082_03_,yes,yes,
52,52,092_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\092_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.48854175,0.48854175,092_03_,no,yes,
53,53,092_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\092_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.45149246,0.45149246,092_03_,yes,yes,
54,54,096_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\096_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.4812126,0.4812126,096_03_,no,yes,
55,55,096_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\096_03_masc.jpg,[254. 254. 254. ... 255. 255. 255.],0.43828794,0.43828794,096_03_,yes,yes,
56,56,101_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\101_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.4866629,0.4866629,101_03_,no,yes,
57,57,101_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\101_03_masc.jpg,[255. 255. 255. ... 254. 254. 254.],0.47945848,0.47945848,101_03_,yes,yes,
58,58,103_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\103_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.4368902,0.4368902,103_03_,no,yes,
59,59,103_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\103_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.40646818,0.40646818,103_03_,yes,yes,
60,60,104_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\104_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.51371056,0.51371056,104_03_,no,yes,
61,61,104_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\104_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.4741954,0.4741954,104_03_,yes,yes,
62,62,105_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\105_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.47745135,0.47745135,105_03_,no,yes,
63,63,105_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\105_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.474892,0.474892,105_03_,yes,yes,
64,64,108_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\108_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.49342462,0.49342462,108_03_,no,yes,
65,65,108_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\108_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.4959043,0.4959043,108_03_,yes,yes,
66,66,117_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\117_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.5390444,0.5390444,117_03_,no,yes,
67,67,117_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\117_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.46293536,0.46293536,117_03_,yes,yes,
68,68,119_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\119_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.4896759,0.4896759,119_03_,no,yes,
69,69,119_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\119_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.43703243,0.43703243,119_03_,yes,yes,
70,70,121_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\121_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.46747926,0.46747926,121_03_,no,yes,
71,71,121_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\121_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.48737338,0.48737338,121_03_,yes,yes,
72,72,123_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\123_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.4639764,0.4639764,123_03_,no,yes,
73,73,123_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\123_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.45820907,0.45820907,123_03_,yes,yes,
74,74,125_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\125_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.4773533,0.4773533,125_03_,no,yes,
75,75,125_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\125_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.45855805,0.45855805,125_03_,yes,yes,
76,76,128_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\128_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.45286414,0.45286414,128_03_,no,yes,
77,77,128_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\128_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.43894252,0.43894252,128_03_,yes,yes,
78,78,130_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\130_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.55124754,0.55124754,130_03_,no,yes,
79,79,130_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\130_03_masc.jpg,[254. 254. 254. ... 255. 255. 255.],0.52432823,0.52432823,130_03_,yes,yes,
80,80,131_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\131_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.4445397,0.4445397,131_03_,no,yes,
81,81,131_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\131_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.4207941,0.4207941,131_03_,yes,yes,
82,82,132_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\132_03_feminized.jpg,[254. 254. 254. ... 255. 255. 255.],0.50678927,0.50678927,132_03_,no,yes,
83,83,132_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\132_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.47651485,0.47651485,132_03_,yes,yes,
84,84,137_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\137_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.50426614,0.50426614,137_03_,no,yes,
85,85,137_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\137_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.4984242,0.4984242,137_03_,yes,yes,
86,86,138_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\138_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.55549747,0.55549747,138_03_,no,yes,
87,87,138_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\138_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.49304745,0.49304745,138_03_,yes,yes,
88,88,140_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\140_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.42901126,0.42901126,140_03_,no,yes,
89,89,140_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\140_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.39431736,0.39431736,140_03_,yes,yes,
90,90,141_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\141_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.59924275,0.59924275,141_03_,no,yes,
91,91,141_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\141_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.55727404,0.55727404,141_03_,yes,yes,
92,92,142_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\142_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.5103594,0.5103594,142_03_,no,yes,
93,93,142_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\142_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.5188017,0.5188017,142_03_,yes,yes,
94,94,143_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\143_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.48240468,0.48240468,143_03_,no,yes,
95,95,143_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\143_03_masc.jpg,[255. 255. 255. ... 254. 254. 254.],0.47509924,0.47509924,143_03_,yes,yes,
96,96,172_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\172_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.39927295,0.39927295,172_03_,no,yes,
97,97,172_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\172_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.41990593,0.41990593,172_03_,yes,yes,
98,98,173_03_feminized.jpg,male,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\173_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.5147215,0.5147215,173_03_,no,yes,
99,99,173_03_masc.jpg,male,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\male\173_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.47912183,0.47912183,173_03_,yes,yes,
100,0,001_03_feminized.jpg,female,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\female\001_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.56407475,0.56407475,001_03_,yes,yes,
101,1,001_03_masc.jpg,female,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\female\001_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.57350886,0.57350886,001_03_,no,yes,
102,2,002_03_feminized.jpg,female,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\female\002_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.6621157,0.6621157,002_03_,yes,yes,
103,3,002_03_masc.jpg,female,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\female\002_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.6504239,0.6504239,002_03_,no,yes,
104,4,003_03_feminized.jpg,female,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\female\003_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.5823995,0.5823995,003_03_,yes,yes,
105,5,003_03_masc.jpg,female,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\female\003_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.542501,0.542501,003_03_,no,yes,
106,6,006_03_feminized.jpg,female,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\female\006_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.5298284,0.5298284,006_03_,yes,yes,
107,7,006_03_masc.jpg,female,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\female\006_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.5003839,0.5003839,006_03_,no,yes,
108,8,007_03_feminized.jpg,female,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\female\007_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.6029513,0.6029513,007_03_,yes,yes,
109,9,007_03_masc.jpg,female,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\female\007_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.5927424,0.5927424,007_03_,no,yes,
110,10,009_03_feminized.jpg,female,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\female\009_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.60820603,0.60820603,009_03_,yes,yes,
111,11,009_03_masc.jpg,female,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\female\009_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.5621395,0.5621395,009_03_,no,yes,
112,12,010_03_feminized.jpg,female,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\female\010_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.5168459,0.5168459,010_03_,yes,yes,
113,13,010_03_masc.jpg,female,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\female\010_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.53213024,0.53213024,010_03_,no,yes,
114,14,011_03_feminized.jpg,female,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\female\011_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.5861972,0.5861972,011_03_,yes,yes,
115,15,011_03_masc.jpg,female,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\female\011_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.57802707,0.57802707,011_03_,no,yes,
116,16,013_03_feminized.jpg,female,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\female\013_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.5877357,0.5877357,013_03_,yes,yes,
117,17,013_03_masc.jpg,female,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\female\013_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.5347477,0.5347477,013_03_,no,yes,
118,18,014_03_feminized.jpg,female,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\female\014_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.54105675,0.54105675,014_03_,yes,yes,
119,19,014_03_masc.jpg,female,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\female\014_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.5616155,0.5616155,014_03_,no,yes,
120,20,016_03_feminized.jpg,female,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\female\016_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.4922113,0.4922113,016_03_,yes,yes,
121,21,016_03_masc.jpg,female,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\female\016_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.48967478,0.48967478,016_03_,no,yes,
122,22,019_03_feminized.jpg,female,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\female\019_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.5104215,0.5104215,019_03_,yes,yes,
123,23,019_03_masc.jpg,female,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\female\019_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.5112244,0.5112244,019_03_,no,yes,
124,24,020_03_feminized.jpg,female,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\female\020_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.574035,0.574035,020_03_,yes,yes,
125,25,020_03_masc.jpg,female,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\female\020_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.5418165,0.5418165,020_03_,no,yes,
126,26,025_03_feminized.jpg,female,feminized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\female\025_03_feminized.jpg,[254. 254. 254. ... 254. 254. 254.],0.51566446,0.51566446,025_03_,yes,yes,
127,27,025_03_masc.jpg,female,masculinized,C:\Users\nunok\PycharmProjects\pythonProject2\predict\female\025_03_masc.jpg,[254. 254. 254. ... 254. 254. 254.],0.49677154,0.49677154,025_03_,no,yes,
